"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J11","PJ-102AH","3421.26mil","1712.598mil","3299.213mil","1614.173mil","3299.213mil","1614.173mil","T","360.00","PWR CONNECTOR"
"U8","TSOP65P620X120-24N","3012.795mil","2751.968mil","3012.795mil","2751.968mil","3122.047mil","2892.716mil","B","180.00","SN74CBTD3384CPWR"
"TP3","TESTPOINT_TH","3135.827mil","1891.732mil","3135.827mil","1891.732mil","3135.827mil","1891.732mil","T","90.00","TESTPOINT_TH"
"TP2","TESTPOINT_TH","3600mil","2050mil","3600mil","2050mil","3600mil","2050mil","T","90.00","TESTPOINT_TH"
"U15","TI-DCK6_L","2630.905mil","2593.504mil","2630.905mil","2593.504mil","2656.496mil","2562.008mil","B","90.00","SN74LVC2G34DCKR"
"SW1","ADTSM32RVTR","1799.213mil","2720.472mil","1799.213mil","2720.472mil","1905.512mil","2720.472mil","T","180.00","ADTSM32RVTR"
"PWR6","JMP1X2","1759.842mil","1427.953mil","1759.842mil","1477.953mil","1759.842mil","1477.953mil","T","0.00","Jumper"
"PWR5","JMP1X2","1638.63mil","1428.331mil","1638.63mil","1478.331mil","1638.63mil","1478.331mil","T","0.00","Jumper"
"PWR4","JMP1X2","3481.299mil","2607.874mil","3481.299mil","2657.874mil","3481.299mil","2657.874mil","T","0.00","Jumper"
"PWR3","JMP1X2","3481.299mil","2875.197mil","3481.299mil","2925.197mil","3481.299mil","2925.197mil","T","0.00","Jumper"
"PWR2","JMP1X2","1122.047mil","1194.094mil","1122.047mil","1244.094mil","1122.047mil","1244.094mil","T","0.00","Jumper"
"R34","RESC0402(1005)40_L","2194.882mil","2754.921mil","2194.882mil","2754.921mil","2177.166mil","2754.921mil","T","360.00","270R 1 0402"
"LED5","LED_0402","2281.496mil","2754.921mil","2281.496mil","2754.921mil","2260.827mil","2754.921mil","T","360.00","0402-LED-RED"
"J2","HDR1X6","1322mil","2026mil","1322mil","2276mil","1322mil","2276mil","T","270.00","6-POS VERTICAL HEADER"
"J4","HDR1X6","1522mil","2026mil","1522mil","2276mil","1522mil","2276mil","T","270.00","6-POS VERTICAL HEADER"
"J3","HDR1X6","1422mil","2026mil","1422mil","2276mil","1422mil","2276mil","T","270.00","6-POS VERTICAL HEADER"
"SW2","CHS-04A1","1375.787mil","1429.134mil","1240.158mil","1311.024mil","1300.787mil","1529.134mil","T","360.00","CHS-04TA"
"J15","HDR1X4","1372mil","1676mil","1222mil","1676mil","1222mil","1676mil","T","360.00","4-POS VERTICAL HEADER"
"LED3","LED_0402","1118.11mil","1988.189mil","1118.11mil","1988.189mil","1138.78mil","1988.189mil","T","180.00","0402-LED-RED"
"LED2","LED_0402","1118.11mil","2106.299mil","1118.11mil","2106.299mil","1138.78mil","2106.299mil","T","180.00","0402-LED-RED"
"LED1","LED_0402","1118.11mil","2224.409mil","1118.11mil","2224.409mil","1138.78mil","2224.409mil","T","180.00","0402-LED-RED"
"LED0","LED_0402","1118.11mil","2342.52mil","1118.11mil","2342.52mil","1138.78mil","2342.52mil","T","180.00","0402-LED-RED"
"LED4","LED0603","2302.146mil","2677.165mil","2334.646mil","2677.165mil","2334.646mil","2677.165mil","T","180.00","LED_GREEN_APT1608SGC"
"TP1","TESTPOINT_TH","2605.315mil","2713.583mil","2605.315mil","2713.583mil","2605.315mil","2713.583mil","T","0.00","TESTPOINT_TH"
"R70","RESC0402(1005)_L","2198.819mil","2677.165mil","2198.819mil","2677.165mil","2216.535mil","2677.165mil","T","180.00","56R 1% 0402(1005)"
"C60","CAPC0402(1005)60_L","2659.449mil","2696.85mil","2659.449mil","2696.85mil","2659.449mil","2712.598mil","B","270.00","CAP 100nF 10V 0402(1005)"
"R12","RESC0402(1005)40_L","1487mil","2830mil","1487mil","2830mil","1487mil","2812.284mil","T","90.00","33R 1 0402"
"R11","RESC0402(1005)40_L","1387mil","2830mil","1387mil","2830mil","1387mil","2812.284mil","T","90.00","33R 1 0402"
"R10","RESC0402(1005)40_L","1287mil","2830mil","1287mil","2830mil","1287mil","2812.284mil","T","90.00","33R 1 0402"
"R9","RESC0402(1005)40_L","1187mil","2830mil","1187mil","2830mil","1187mil","2812.284mil","T","90.00","33R 1 0402"
"R17","RESC0402(1005)40_L","1246mil","2543mil","1246mil","2543mil","1246mil","2560.716mil","T","270.00","4K7 1 0402"
"R18","RESC0402(1005)40_L","1326mil","2543mil","1326mil","2543mil","1326mil","2560.716mil","T","270.00","4K7 1 0402"
"R19","RESC0402(1005)40_L","1406mil","2542.716mil","1406mil","2542.717mil","1406mil","2560.433mil","T","270.00","4K7 1 0402"
"R20","RESC0402(1005)40_L","1487mil","2543.716mil","1487mil","2543.717mil","1487mil","2561.433mil","T","270.00","4K7 1 0402"
"R24","RESC0402(1005)40_L","1206mil","2543mil","1206mil","2543mil","1206mil","2560.716mil","T","270.00","33R 1 0402"
"R26","RESC0402(1005)40_L","1286mil","2543mil","1286mil","2543mil","1286mil","2560.716mil","T","270.00","33R 1 0402"
"R27","RESC0402(1005)40_L","1366mil","2542.716mil","1366mil","2542.717mil","1366mil","2560.433mil","T","270.00","33R 1 0402"
"R29","RESC0402(1005)40_L","1447mil","2543.716mil","1447mil","2543.717mil","1447mil","2561.433mil","T","270.00","33R 1 0402"
"U7","ONSC-SOT23-5_M","2558mil","1363mil","2558mil","1363mil","2607.213mil","1400.402mil","B","180.00","CAT6219-125TDGT3"
"C37","CAPC0603(1608)55_L","2408mil","1402mil","2408mil","1402mil","2380.441mil","1402mil","B","360.00","CAP 2.2uF 16V 0603(1608)"
"C36","CAPC0402(1005)60_L","2688mil","1375mil","2688mil","1375mil","2688mil","1359.252mil","B","90.00","CAP 1uF 16V 0402(1005)"
"C38","CAPC0402(1005)33_L","2421mil","1326mil","2421mil","1326mil","2405.252mil","1326mil","B","360.00","CAP 10nF 16V 0402(1005)"
"U5","ISSI-TF-BGA-48-6000X8000DE","2226.472mil","2054mil","2226.472mil","2054mil","2152.654mil","1950.653mil","B","360.00","IS61WV12816DBLL-10BLI"
"J10","2X03","3003.937mil","2099.409mil","3003.937mil","2099.409mil","2953.937mil","2199.409mil","B","270.00","Header 3X2"
"J5","HDR2X5","1387mil","2688mil","1187mil","2638mil","1187mil","2638mil","T","360.00","Header 5X2"
"J12","HDR1X3","2867mil","1375mil","2967mil","1375mil","2967mil","1375mil","T","180.00","3-WAY JUMPER"
"X2","HOSC-L500HW320H105-4_2","2443mil","2217mil","2443mil","2217mil","2486.307mil","2266.213mil","B","270.00","KC5032A20.0000CM0E00"
"R14","RESC0402(1005)40_L","3437.992mil","2159.449mil","3437.992mil","2159.449mil","3455.709mil","2159.449mil","T","180.00","4K7 1 0402"
"R13","RESC0402(1005)40_L","2535mil","2084mil","2535mil","2084mil","2552.716mil","2084mil","B","180.00","33R 1 0402"
"C101","CAPC0402(1005)60_L","2478mil","2341mil","2478mil","2341mil","2462.252mil","2341mil","B","360.00","CAP 100nF 16V 0402(1005)"
"U1","TQG144_N","2226.59mil","2054.591mil","2226.591mil","2054.591mil","1882.102mil","1639.236mil","T","90.00","XC6SLX9-2TQG144C"
"J7","1X08","1900mil","1100mil","1900mil","1100mil","1550mil","1100mil","T","360.00","Header 8"
"J6","1X06","2700mil","1100mil","2700mil","1100mil","2450mil","1100mil","T","360.00","Header 6"
"J9","1X10@1","1640mil","3000mil","1640mil","3000mil","2090mil","3000mil","T","180.00","Header 10"
"J8","1X08","2600mil","3000mil","2600mil","3000mil","2950mil","3000mil","T","180.00","Header 8"
"C2","CAPC0603(1608)55_L","2744mil","1849mil","2744mil","1849mil","2716.441mil","1849mil","T","360.00","CAP 4.7uF 10V 0603(1608)"
"C3","CAPC0402(1005)60_L","2331mil","2471mil","2331mil","2471mil","2346.748mil","2471mil","B","180.00","CAP 470nF 10V 0402(1005)"
"C4","CAPC0402(1005)60_L","1964.252mil","2473.354mil","1964.252mil","2473.354mil","1948.504mil","2473.354mil","B","360.00","CAP 470nF 10V 0402(1005)"
"C5","CAPC0603(1608)55_L","2207mil","2474mil","2207mil","2474mil","2234.559mil","2474mil","B","180.00","CAP 4.7uF 10V 0603(1608)"
"C6","CAPC0603(1608)55_L","2414mil","1544mil","2414mil","1544mil","2414mil","1571.559mil","T","270.00","CAP 4.7uF 10V 0603(1608)"
"C7","CAPC0603(1608)55_L","2510mil","2005mil","2510mil","2005mil","2537.559mil","2005mil","B","180.00","CAP 4.7uF 10V 0603(1608)"
"C8","CAPC0603(1608)55_L","2187mil","1544mil","2187mil","1544mil","2187mil","1571.559mil","T","270.00","CAP 4.7uF 10V 0603(1608)"
"C9","CAPC0603(1608)55_L","1812mil","1872mil","1812mil","1872mil","1812mil","1899.559mil","B","270.00","CAP 4.7uF 10V 0603(1608)"
"C10","CAPC0603(1608)55_L","2522mil","1544mil","2522mil","1544mil","2522mil","1571.559mil","T","270.00","CAP 4.7uF 10V 0603(1608)"
"C11","CAPC0603(1608)55_L","1812mil","1990mil","1812mil","1990mil","1812mil","2017.559mil","B","270.00","CAP 4.7uF 10V 0603(1608)"
"C12","CAPC0603(1608)55_L","2479mil","2539mil","2479mil","2539mil","2506.559mil","2539mil","T","180.00","CAP 4.7uF 10V 0603(1608)"
"C13","CAPC0603(1608)55_L","1985mil","1536mil","1985mil","1536mil","1985mil","1563.559mil","T","270.00","CAP 4.7uF 10V 0603(1608)"
"C14","CAPC0603(1608)55_L","1870mil","2098mil","1870mil","2098mil","1870mil","2070.441mil","B","90.00","CAP 4.7uF 10V 0603(1608)"
"C15","CAPC0603(1608)55_L","1707mil","1997mil","1707mil","1997mil","1707mil","2024.559mil","B","270.00","CAP 4.7uF 10V 0603(1608)"
"C16","CAPC0402(1005)60_L","2730mil","2002mil","2730mil","2002mil","2745.748mil","2002mil","T","180.00","CAP 470nF 10V 0402(1005)"
"C17","CAPC0402(1005)60_L","2642mil","2209mil","2642mil","2209mil","2642mil","2193.252mil","B","90.00","CAP 470nF 10V 0402(1005)"
"C18","CAPC0603(1608)55_L","2744mil","2043mil","2744mil","2043mil","2771.559mil","2043mil","T","180.00","CAP 4.7uF 10V 0603(1608)"
"C19","CAPC0402(1005)60_L","2468mil","1559mil","2468mil","1559mil","2468mil","1543.252mil","T","90.00","CAP 470nF 10V 0402(1005)"
"C20","CAPC0402(1005)60_L","1939mil","1549mil","1939mil","1549mil","1939mil","1533.252mil","T","90.00","CAP 470nF 10V 0402(1005)"
"C21","CAPC0603(1608)55_L","2236mil","1544mil","2236mil","1544mil","2236mil","1516.441mil","T","90.00","CAP 4.7uF 10V 0603(1608)"
"C26","CAPC0402(1005)60_L","2272mil","2558mil","2272mil","2558mil","2256.252mil","2558mil","B","360.00","CAP 470nF 10V 0402(1005)"
"C27","CAPC0402(1005)60_L","1827mil","2097mil","1827mil","2097mil","1827mil","2112.748mil","B","270.00","CAP 470nF 10V 0402(1005)"
"C28","CAPC0402(1005)60_L","2579mil","1559mil","2579mil","1559mil","2579mil","1543.252mil","T","90.00","CAP 470nF 10V 0402(1005)"
"C29","CAPC0402(1005)60_L","2729mil","1808mil","2729mil","1808mil","2744.748mil","1808mil","T","180.00","CAP 470nF 10V 0402(1005)"
"R1","RESC0402(1005)40_L","2737mil","2387mil","2737mil","2387mil","2719.284mil","2387mil","T","360.00","100R 1 0402"
"R2","RESC0402(1005)40_L","2556mil","2323mil","2556mil","2323mil","2556mil","2340.716mil","B","270.00","4K7 1 0402"
"R3","RESC0402(1005)40_L","2739.937mil","2336mil","2739.937mil","2336mil","2757.653mil","2336mil","T","180.00","100R 1 0402"
"R4","RESC0402(1005)40_L","2555mil","2145mil","2555mil","2145mil","2555mil","2127.284mil","B","90.00","1K 1 0402"
"R5","RESC0402(1005)40_L","2730mil","1750mil","2730mil","1750mil","2712.284mil","1750mil","T","0.00","4K7 1 0402"
"R6","RESC0402(1005)40_L","2571mil","1713mil","2571mil","1713mil","2571mil","1730.716mil","B","270.00","4K7 1 0402"
"R21","RESC0402(1005)40_L","2730mil","1703mil","2730mil","1703mil","2712.284mil","1703mil","T","360.00","4K7 1 0402"
"R22","RESC0402(1005)40_L","2735.716mil","2426mil","2735.716mil","2426mil","2718mil","2426mil","T","360.00","330R 1 0402"
"C23","AVX-CAPC3528_V","3138mil","1297mil","3138mil","1297mil","3138mil","1234.008mil","B","90.00","TAJB106K020R"
"C24","AVX-CAPC3528_V","3516mil","1299mil","3516mil","1299mil","3516mil","1236.008mil","B","90.00","TAJB106K020R"
"D1","DO-214AC","3326mil","1366mil","3326mil","1366mil","3255.528mil","1366mil","B","360.00","S1G"
"C1","CAPC0402(1005)60_L","3247.724mil","1882.055mil","3247.724mil","1882.055mil","3231.976mil","1882.055mil","T","0.00","CAP 100nF 16V 0402(1005)"
"C22","CAPC0402(1005)60_L","3204.992mil","2159.992mil","3204.992mil","2159.992mil","3220.74mil","2159.992mil","T","180.00","CAP 100nF 16V 0402(1005)"
"R7","RESC0402(1005)40_L","3538.386mil","2027.559mil","3538.386mil","2027.559mil","3538.386mil","2045.275mil","B","270.00","4K7"
"R8","RESC0402(1005)40_L","3305.433mil","2012.866mil","3305.433mil","2012.866mil","3305.433mil","1995.149mil","B","90.00","4K7"
"U2","SPANSION-SOIC127P600X175-8M","3337.724mil","2020.055mil","3337.724mil","2020.055mil","3443.039mil","1945.055mil","T","180.00","S25FL216K0PMFI041"
"U3","TI-DBQ16_N","3321.85mil","2286.417mil","3321.85mil","2286.417mil","3424.213mil","2198.917mil","T","180.00","SN74CBTLV3257DBQR"
"C25","CAPC0402(1005)60_L","2420mil","2024mil","2420mil","2024mil","2420mil","2039.748mil","B","270.00","CAP 100nF 16V 0402(1005)"
"C30","CAPC0402(1005)60_L","2068mil","2053mil","2068mil","2053mil","2068mil","2068.748mil","B","270.00","CAP 100nF 16V 0402(1005)"
"C31","CAPC0402(1005)33_L","2033mil","2053mil","2033mil","2053mil","2033mil","2068.748mil","B","270.00","CAP 10nF 16V 0402(1005)"
"C32","CAPC0402(1005)33_L","2385mil","2024mil","2385mil","2024mil","2385mil","2039.748mil","B","270.00","CAP 10nF 16V 0402(1005)"
"U4","LDC08A","3327mil","1207mil","3327mil","1207mil","3391.961mil","1254.244mil","B","180.00","LM1086ILD-3.3/NOPB"
"C33","CAPC0603(1608)55_L","2895mil","1456mil","2895mil","1456mil","2867.441mil","1456mil","B","360.00","CAP 4.7uF 10V 0603(1608)"
"C34","CAPC0603(1608)55_L","2761mil","1456mil","2761mil","1456mil","2733.441mil","1456mil","B","360.00","CAP 4.7uF 10V 0603(1608)"
"U6","SOT230P700X180-4L","2861mil","1618mil","2861mil","1618mil","2977.142mil","1708.551mil","B","180.00","AP2114H-3.3TRG1"
"J13","HDR1X3","3016.338mil","2391.732mil","2916.338mil","2391.732mil","2916.338mil","2391.732mil","T","360.00","3-WAY JUMPER"
"J14","HDR1X3","2735.236mil","2608.858mil","2735.236mil","2508.858mil","2735.236mil","2508.858mil","T","90.00","3-WAY JUMPER"
"R15","RESC0402(1005)40_L","1688.976mil","2597.441mil","1688.976mil","2597.441mil","1706.693mil","2597.441mil","T","180.00","4K7 1 0402"
"J1","HDR1X6","1222mil","2026mil","1222mil","2276mil","1222mil","2276mil","T","270.00","HDR1X6X1"
"R16","RESC0402(1005)40_L","1129.921mil","2381.89mil","1129.921mil","2381.89mil","1112.205mil","2381.89mil","T","360.00","270R 1 0402"
"R23","RESC0402(1005)40_L","1129.921mil","2263.78mil","1129.921mil","2263.78mil","1112.205mil","2263.78mil","T","360.00","270R 1 0402"
"R25","RESC0402(1005)40_L","1129.921mil","2145.669mil","1129.921mil","2145.669mil","1112.205mil","2145.669mil","T","360.00","270R 1 0402"
"R28","RESC0402(1005)40_L","1129.921mil","2027.559mil","1129.921mil","2027.559mil","1112.205mil","2027.559mil","T","360.00","270R 1 0402"
"R30","RESC0402(1005)40_L","1299.213mil","1440.945mil","1299.213mil","1440.945mil","1299.213mil","1458.661mil","B","270.00","4K7 1 0402"
"R31","RESC0402(1005)40_L","1350.394mil","1440.945mil","1350.394mil","1440.945mil","1350.394mil","1458.661mil","B","270.00","4K7 1 0402"
"R32","RESC0402(1005)40_L","1397.638mil","1440.945mil","1397.638mil","1440.945mil","1397.638mil","1458.661mil","B","270.00","4K7 1 0402"
"R33","RESC0402(1005)40_L","1448.819mil","1440.945mil","1448.819mil","1440.945mil","1448.819mil","1458.661mil","B","270.00","4K7 1 0402"
"C35","CAPC0402(1005)60_L","2845.472mil","2874.016mil","2845.472mil","2874.016mil","2845.472mil","2858.268mil","B","90.00","CAP 100nF 16V 0402(1005)"
"C39","CAPC0402(1005)60_L","2221.457mil","2875.984mil","2221.457mil","2875.984mil","2221.457mil","2860.236mil","B","90.00","CAP 100nF 16V 0402(1005)"
"U9","TSOP65P620X120-24N","2389.764mil","2751.968mil","2389.764mil","2751.968mil","2499.016mil","2892.716mil","B","180.00","SN74CBTD3384CPWR"
"TP4","TESTPOINT_TH","2894.685mil","1831.693mil","2894.685mil","1831.693mil","2894.685mil","1831.693mil","T","90.00","TESTPOINT_TH"

